round,action,event_id,protocol,timeout,network_bytes,network_mb,receive_mbps,uplink_ms,chunk_ms,scheduler_total_ms,vae_queue_ms,vae_decode_ms,encode_feed_ms,bridge_queue_ms,downlink_ms,playback_ms,key_to_presented_frame_ms,packets_lost,nack_count,dropped_frames
1,w,4,WebRTC,false,1000997,0.955,4.019,159.916,538.866,549.000,0.129,90.392,3.286,69.577,279.296,123.900,1815,0,18,
1,w,4,WebSocket,false,5791330,5.523,160.789,200.415,542.072,551.560,0.074,73.406,400.788,,136.883,242.100,1699,,,137
2,a,6,WebRTC,false,1017531,0.970,4.402,158.898,538.762,548.623,0.107,87.652,2.899,38.233,323.052,165.300,1632,0,18,
2,a,6,WebSocket,false,5683668,5.420,139.445,166.943,542.807,554.548,0.072,70.992,378.015,,183.470,255.300,1583,,,154
3,d,8,WebRTC,false,974254,0.929,4.148,157.944,540.016,549.050,0.135,97.354,3.568,67.918,295.820,139.600,1665,0,18,
3,d,8,WebSocket,false,5925064,5.650,160.441,167.949,542.391,552.365,0.071,76.351,421.995,,177.120,271.100,1599,,,170
4,ArrowLeft,10,WebRTC,false,957637,0.913,3.908,158.434,539.612,549.456,0.111,89.237,3.050,287.741,338.386,182.400,1698,0,18,
4,ArrowLeft,10,WebSocket,false,5817174,5.548,129.673,167.437,544.547,554.161,0.091,76.256,376.191,,187.617,419.500,1850,,,180
5,ArrowRight,13,WebRTC,false,479836,0.458,3.835,158.441,539.278,549.042,0.092,94.793,2.775,40.172,337.731,182.100,1617,0,18,
5,ArrowRight,13,WebSocket,false,5782126,5.514,95.230,167.437,543.505,552.677,0.098,73.150,394.442,,185.078,257.900,1465,,,202
6,s,15,WebRTC,false,980024,0.935,4.131,163.896,538.615,548.141,0.148,92.062,2.500,73.784,275.447,123.800,1631,0,18,
6,s,15,WebSocket,false,6003176,5.725,133.636,166.902,543.213,553.053,0.087,75.812,409.753,,172.829,273.300,1582,,,217
7,ArrowUp,17,WebRTC,false,959307,0.915,3.953,157.918,537.878,547.264,0.089,94.630,2.181,71.981,279.987,124.500,1650,0,18,
7,ArrowUp,17,WebSocket,false,6002928,5.725,93.276,173.447,543.745,553.693,0.084,72.979,414.273,,168.994,264.300,1598,,,233
8,ArrowDown,19,WebRTC,false,975254,0.930,3.971,159.945,538.446,548.628,0.083,92.130,3.101,41.438,305.524,147.200,1615,0,19,
8,ArrowDown,19,WebSocket,false,5838746,5.568,147.451,169.944,542.487,551.768,0.089,78.082,392.845,,176.566,231.100,1582,,,249
9,w,21,WebRTC,false,484954,0.463,3.875,158.943,539.284,549.062,0.078,93.271,3.116,79.466,344.971,189.300,1714,0,23,
9,w,21,WebSocket,false,5841822,5.571,137.074,165.925,543.590,553.577,0.073,69.492,408.579,,182.049,297.900,1599,,,265
10,d,23,WebRTC,false,950098,0.906,3.810,159.949,538.277,547.134,0.083,96.174,3.911,58.042,377.140,222.800,1766,0,23,
10,d,23,WebSocket,false,6022406,5.743,135.621,166.407,543.983,553.813,0.081,72.454,400.090,,172.069,352.400,1532,,,281
